#OTU ID	A11	A21	A31	A41	A51	B11	B21	B31	B41	B51	C11	C21	C31	C41	C51	D11	D21	D31	D41	D51	E11	E21	E31	E51	F11	F21	F31	F41	F51
ASV_293	23	47	88	47	125	0	0	178	509	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV_294	96	27	71	86	16	271	181	170	77	258	31	10	12	10	0	7	87	0	0	41	15	0	35	9	22	11	28	10	66
ASV_295	199	58	96	17	23	102	160	35	37	123	12	0	2	10	23	43	0	39	10	44	26	22	35	0	7	7	0	0	10
ASV_296	3	58	0	10	3	0	10	43	0	0	36	404	537	195	138	2	72	4	126	29	160	338	116	216	40	66	6	49	70
ASV_297	40	187	301	143	213	177	116	256	355	298	174	66	173	246	314	236	90	140	164	80	81	174	20	40	138	165	158	334	226
ASV_298	17	55	46	7	43	4	0	62	34	40	383	83	138	96	168	67	50	190	300	62	76	62	25	89	226	95	192	190	116
ASV_299	20	35	21	47	43	31	20	27	83	54	84	66	74	44	77	65	72	70	55	44	29	50	15	37	58	88	69	108	83
ASV_3	126	1181	347	459	3896	191	255	2348	179	904	7823	10649	3311	5869	1806	6978	11747	15013	10435	19897	3104	2297	3713	9965	8365	3482	10250	9938	7323
ASV_30	229	265	469	339	603	200	24	170	157	272	506	272	564	581	868	978	440	509	307	637	457	632	232	502	637	419	475	864	784
ASV_300	7	12	0	10	7	4	7	8	28	11	118	53	64	55	115	18	10	54	61	3	61	53	10	49	106	40	42	29	27
ASV_301	53	97	13	27	79	31	34	178	46	29	58	103	232	167	184	270	75	47	96	44	250	257	71	176	116	118	72	170	70
ASV_302	13	90	29	7	39	27	31	31	83	36	258	123	210	109	287	70	55	155	184	44	87	109	10	49	153	107	94	88	53
ASV_303	0	0	0	0	0	0	0	0	0	0	5	3	7	34	0	216	20	35	24	121	0	19	454	9	0	0	0	10	0
ASV_304	10	0	13	17	26	0	3	19	0	7	2	3	35	0	4	115	80	241	3	103	17	34	0	6	47	29	31	0	23
ASV_305	245	144	0	0	128	0	228	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_306	43	242	289	210	289	200	109	229	348	269	453	255	349	383	627	321	271	350	498	180	209	291	50	182	317	496	514	615	345
ASV_307	345	55	130	130	98	67	644	213	65	200	0	3	0	3	0	7	0	4	7	9	12	9	10	6	18	7	8	3	3
ASV_308	23	144	42	13	23	31	85	54	9	22	0	0	2	0	0	0	0	23	0	3	0	37	15	3	207	7	0	13	23
ASV_309	209	43	67	67	30	106	198	35	15	73	0	0	0	3	0	29	0	0	0	6	0	31	5	0	4	0	0	0	3
ASV_31	66	316	188	53	164	133	102	194	284	218	1191	550	1071	759	1366	292	261	692	802	177	605	459	66	391	717	624	472	566	425
ASV_310	36	94	59	50	134	75	65	112	197	109	260	199	210	246	352	90	90	202	160	53	90	164	15	105	171	132	133	101	90
ASV_311	275	31	4	30	10	0	296	12	0	36	31	50	10	21	11	2	52	4	3	15	73	25	76	12	0	51	28	10	7
ASV_312	20	136	222	150	223	89	112	167	1440	432	63	139	176	167	207	180	75	51	72	77	20	74	0	43	106	125	50	79	46
ASV_313	371	113	29	37	46	49	317	23	56	40	7	0	0	3	0	54	2	4	7	18	44	53	20	6	4	4	3	3	13
ASV_314	192	74	33	146	134	89	170	93	49	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
ASV_315	272	55	46	77	56	18	283	66	31	113	0	0	2	3	8	27	0	8	0	9	15	31	10	6	40	18	3	3	23
